Apartment,Address,Number of units,Number of floors,Number of stories/generations,Move-in year,Latitude,Longitude,
율하휴먼시아6단지,대구광역시 동구 안심로16길 45,12,15,808,2008,35.86399116,128.6944664,
e편한세상 세계육상선수촌2단지,대구광역시 동구 안심로16길 71,15,15,652,2011,35.86166817,128.6930322,
율하휴먼시아7단지,대구광역시 동구 안심로22길 55,13,15,712,2008,35.86431111,128.6965749,
율하 센트럴파크8단지,대구광역시 동구 안심로22길 75,7,15,253,2009,35.86344254,128.7000677,
율하센트럴파크9단지,대구광역시 동구 안심로22길 76,10,15,332,2009,35.86297259,128.6999666,
율하리버파크,대구광역시 동구 율하동로 19,12,15,486,2009,35.86067571,128.6993218,
율하휴먼시아10단지,대구광역시 동구 율하동로8길 16,16,15,976,2010,35.86155006,128.7034208,
율하 롯데캐슬 TOP LASS,대구광역시 동구 율하서로 23,6,15,447,2015,35.86559523,128.6930908,
율하휴먼시아5단지,대구광역시 동구 율하서로 59,12,15,860,2008,35.86422964,128.691165,
e편한세상 세계육상선수촌,대구광역시 동구 율하서로 85,10,15,528,2011,35.86182146,128.6892912,
왕산우방타운,대구광역시 동구 파계로6길 30,5,15,215,1997,35.93953251,128.6412226,
금사리하이빌,대구광역시 동구 해동로 254,2,15,224,2003,35.88374906,128.6557538,
부민스위트빌,대구광역시 동구 해동로2길 37,1,15,184,2002,35.89628073,128.6359696,
대구혁신도시 서한이다음3차,대구광역시 동구 혁신대로 443,6,15,380,2016,35.87511382,128.7454663,
우방2차강촌마을,대구광역시 동구 화랑로80길 9,4,15,428,1998,35.87573353,128.6708008,
보성강남타운,대구광역시 동구 화랑로88길 30,3,15,330,1997,35.87475716,128.6692433,
강변동서마을,대구광역시 동구 화랑로100길 17,9,15,665,1999,35.87403158,128.6785761,
방촌역세영리첼아파트,대구광역시 동구 동촌로 260,7,15,403,2021,35.87993712,128.6681629,
신천역 까사밀라 101동,대구광역시 동구 동부로 29,1,16,182,2015,35.8744162,128.6156431,
동촌역 태왕아너스 르네상스,대구광역시 동구 동촌로 100,9,16,453,2017,35.88622411,128.6522936,
안심역서원프레시빌,대구광역시 동구 안심로 477,3,16,214,2018,35.87230556,128.7345104,
방촌역 태왕아너스,대구광역시 동구 동촌로 255,4,16,214,2021,35.88069662,128.6678232,
대구 안심뉴타운 시티프라디움,대구광역시 동구 안심뉴타운7로 31,6,16,431,2022,35.87537429,128.7076844,
태왕그린힐즈,대구광역시 동구 파계로 46,7,17,462,1997,35.93991203,128.6394739,
화성명산타운,대구광역시 동구 파계로22길 7,2,17,218,1994,35.94365522,128.6380337,
팔공보성아파트,대구광역시 동구 팔공로 489,6,17,727,1994,35.9418978,128.6454463,
팔공2차보성아파트,대구광역시 동구 팔공로101길 55,6,17,748,1995,35.9408984,128.6411913,
대구혁신엘에이치4단지,대구광역시 동구 경안로 956,7,18,572,2017,35.88603443,128.7192268,
대구혁신엘에이치천년나무3단지,대구광역시 동구 과학로13길 30,6,18,448,2014,35.88645076,128.7183346,
안심역우방아이유쉘,대구광역시 동구 금강로21길  10,4,18,351,2016,35.86539531,128.7342714,
대구 연경 아이파크,대구광역시 동구 동화천로 369,11,18,792,2020,35.94509507,128.6293632,
대구혁신도시 서한이다음 2차 아파트,대구광역시 동구 이노밸리로29길 34,8,18,429,2015,35.88101781,128.7139066,
대구혁신도시 서한이다음,대구광역시 동구 이노밸리로29길 56,9,18,479,2015,35.88513108,128.7148102,
팔공3차보성타운,대구광역시 동구 파계로 71,9,18,664,2001,35.94096698,128.6365549,
협성휴포레 이시아폴리스,대구광역시 동구 팔공로 260,11,18,599,2018,35.9228479,128.6425459,
이시아폴리스 더샵2차,대구광역시 동구 팔공로 274,11,18,750,2013,35.92441982,128.6428852,
대구연경 LH 뉴웰시티,대구광역시 동구 동화천로77길 30,22,18,1812,2021,35.94100272,128.6332138,
대구연경엘에이치천년나무2단지,대구광역시 동구 연경지묘로 153,13,18,916,2020,35.94723824,128.6277775,
대구혁신LH천년나무 6단지,대구광역시 동구 과학로 6길 23,8,19,1028,2016,35.88039736,128.7190768,
각산서한이다음,대구광역시 동구 반야월북로 167,5,19,372,2018,35.87335431,128.7165134,
오성파크2차,대구광역시 동구 장등로 46,1,19,62,2017,35.87139631,128.6241405,
대구혁신에듀포레,대구광역시 동구 과학로 45,5,20,350,2013,35.88299221,128.7168385,
신천주공2아파트,대구광역시 동구 국채보상로155길 54,7,20,609,1998,35.87254447,128.6134401,
우방푸른타운,대구광역시 동구 국채보상로159길 41,7,20,606,1996,35.86994779,128.6147782,
신천역더뷰파크,대구광역시 동구 동부로 20,3,20,174,2002,35.8728256,128.614312,
대구혁신엘에이치이노힐즈,대구광역시 동구 메디밸리로 35,7,20,487,2015,35.87569347,128.7490706,
각산역 더뉴클래스2차,대구광역시 동구 반야월로 360,2,20,206,2015,35.87153914,128.7282582,
신서그린빌,대구광역시 동구 반야월북로 251,7,20,568,2001,35.87319539,128.7243507,
대구혁신도시 서원 프레시빌,대구광역시 동구 반야월북로27길 44794,3,20,128,2016,35.87540277,128.7126709,
신천휴먼시아6단지,대구광역시 동구 송라로11길 39,6,20,550,2011,35.87144443,128.6166305,
동신우방아파트,대구광역시 동구 송라로11길 86,3,20,429,1996,35.87125447,128.6148548,
신암그린타운,대구광역시 동구 신성로 30,4,20,400,2003,35.87859571,128.6112159,
가람타운,대구광역시 동구 신암로16길 16,9,20,1376,1997,35.87607227,128.60943,
신암 뜨란채,대구광역시 동구 아양로7길 12,10,20,828,2005,35.88331318,128.618521,
대구혁신도시 서한이다음4차,대구광역시 동구 초례로 50,7,20,244,2016,35.87902753,128.752618,
봉무청구새들마을,대구광역시 동구 팔공로 322-5,4,20,351,2001,35.92850629,128.6424846,
대구혁신센텀힐즈,대구광역시 동구 혁신대로 450,8,20,822,2018,35.87285381,128.7456633,
혁신도시 서한 e스테이,대구광역시 동구 혁신대로 504,7,20,477,2020,35.87442979,128.7522881,
각산역 더뉴클래스3차,대구광역시 동구 신서로 75,1,20,70,2017,35.87466898,128.7237021,
신천동서,대구광역시 동구 국채보상로155길 8,1,22,111,1995,35.86883756,128.6147743,
이시아폴리스 더샵3차,대구광역시 동구 팔공로51길 10,21,22,1686,2013,35.92331258,128.6397826,
iaan 센트럴D,대구광역시 동구 동대구로 577,9,22,999,2021,35.8807813,128.6239581,
동대구 에일린의 뜰,대구광역시 아양로 9길 35,8,22,705,2021,35.88619065,128.6175666,
신천역센트럴리버파크,대구광역시 동구 동부로 26,10,23,785,2011,35.87172667,128.6161231,
각산태영데시앙,대구광역시 동구 반야월북로 123,9,23,839,2009,35.87332149,128.7110403,
신서동퀸덤,대구광역시 동구 신서로 72,5,23,419,2009,35.8748449,128.7256017,
신서 롯데캐슬레전드,대구광역시 동구 안심로73길 22,4,23,619,2007,35.8700364,128.726617,
동대구반도유보라,대구광역시 동구 송라로16길 11,9,24,764,2018,35.87569234,128.6177504,
신암 청아람,대구광역시 동구 신암로20길 39,7,24,665,2009,35.87979053,128.6122859,
동대구역우방아이유쉘,대구광역시 동구 동부로 115,4,24,322,2022,35.87715232,128.6246836,
동대구 삼환나우빌,대구광역시 동구 동부로 81,1,25,158,2007,35.87564041,128.6212504,
화성파크드림이스트밸리,대구광역시 동구 송라로10길 34,4,25,447,2008,35.87090541,128.6216488,
신천 청아람,대구광역시 동구 송라로14길 132,5,25,490,2010,35.8736178,128.6227555,
동대구우방아이유쉘아파트,대구광역시 동구 송라로32길 32,5,25,570,2020,35.88009885,128.6170597,
이시아폴리스 더샵1차,대구광역시 동구 팔공로53길  10,8,25,652,2012,35.92525475,128.639891,
이시아폴리스 더샵 4차,대구광역시 동구 팔공로53길 40,9,25,774,2014,35.92545836,128.6365363,
각산푸르지오2단지,대구광역시 동구 경안로 822,7,26,596,2009,35.87512415,128.716568,
이안 동대구,대구광역시 동구 송라로28길 14,12,27,931,2018,35.87909431,128.6165709,
벽산e-솔렌스힐,대구광역시 동구 장등로 56,1,27,187,2007,35.87214639,128.6241893,
동대구역더샵센터시티,대구광역시 동구 동부로 19길 18,5,27,445,2022,35.87682181,128.6239612,
각산푸르지오1단지,대구광역시 동구 경안로 824,4,28,475,2009,35.8754127,128.7170724,
신천자이아파트,대구광역시 동구 신암로16길 25,10,28,854,2013,35.87705943,128.6110047,
신천 두산위브,대구광역시 동구 국채보상로 829,4,29,294,2008,35.86767547,128.6215744,
하이페리온1단지,대구광역시 동구 국채보상로 861,1,29,212,2007,35.8678978,128.6245756,
안심역코오롱하늘채,대구광역시 동구 금강로21길  30,8,29,728,2017,35.86711206,128.7331967,
신서동 신일해피트리,대구광역시 동구 반야월로 370,5,29,588,2007,35.87161757,128.729413,
신서화성파크드림,대구광역시 동구 반야월북로 221,9,29,934,2010,35.8730048,128.7214032,
동대구역센트럴시티자이,대구광역시 동구 송라로10길 33,8,29,553,2022,35.87349655,128.623719,
하이페리온2단지,대구광역시 동구 국채보상로 863,1,32,102,2007,35.86766343,128.6254023,
안심역삼정그린코아더베스트,대구광역시 동구 반야월북로 355,4,37,555,2021,35.87366216,128.7373007,
